Name,Dataset_Name,API_URL
pop_sex,Population estimates - local authority based by single year of age,"/api/v01/dataset/NM_2002_1.data.csv?geography=1811939329...1811939332,1811939334...1811939336,1811939338...1811939428,1811939436...1811939442,1811939768,1811939769,1811939443...1811939497,1811939499...1811939501,1811939503,1811939505...1811939507,1811939509...1811939517,1811939519,1811939520,1811939524...1811939570,1811939575...1811939599,1811939601...1811939628,1811939630...1811939634,1811939636...1811939647,1811939649,1811939655...1811939664,1811939667...1811939680,1811939682,1811939683,1811939685,1811939687...1811939704,1811939707,1811939708,1811939710,1811939712...1811939717,1811939719,1811939720,1811939722...1811939730,1811939757...1811939767&gender=0...2&c_age=200&measures=20100&select=date_name,geography_name,geography_code,gender_name,obs_value"
pop_all_age,Population estimates - local authority based by single year of age,"/api/v01/dataset/NM_2002_1.data.csv?geography=1811939329...1811939332,1811939334...1811939336,1811939338...1811939428,1811939436...1811939442,1811939768,1811939769,1811939443...1811939497,1811939499...1811939501,1811939503,1811939505...1811939507,1811939509...1811939517,1811939519,1811939520,1811939524...1811939570,1811939575...1811939599,1811939601...1811939628,1811939630...1811939634,1811939636...1811939647,1811939649,1811939655...1811939664,1811939667...1811939680,1811939682,1811939683,1811939685,1811939687...1811939704,1811939707,1811939708,1811939710,1811939712...1811939717,1811939719,1811939720,1811939722...1811939730,1811939757...1811939767&date=latestMINUS26,latestMINUS25,latestMINUS24,latestMINUS23,latestMINUS22,latestMINUS21,latestMINUS20,latestMINUS19,latestMINUS18,latestMINUS17,latestMINUS16,latestMINUS15,latestMINUS14,latestMINUS13,latestMINUS12,latestMINUS11,latestMINUS10,latestMINUS9,latestMINUS8,latestMINUS7,latestMINUS6,latestMINUS5,latestMINUS4,latestMINUS3,latestMINUS2,latestMINUS1&gender=0&c_age=101...191&measures=20100&select=date_name,geography_name,geography_code,c_age_name,obs_value"
pop_work_age,Population estimates - local authority based by single year of age,"/api/v01/dataset/NM_2002_1.data.csv?geography=1811939329...1811939332,1811939334...1811939336,1811939338...1811939428,1811939436...1811939442,1811939768,1811939769,1811939443...1811939497,1811939499...1811939501,1811939503,1811939505...1811939507,1811939509...1811939517,1811939519,1811939520,1811939524...1811939570,1811939575...1811939599,1811939601...1811939628,1811939630...1811939634,1811939636...1811939647,1811939649,1811939655...1811939664,1811939667...1811939680,1811939682,1811939683,1811939685,1811939687...1811939704,1811939707,1811939708,1811939710,1811939712...1811939717,1811939719,1811939720,1811939722...1811939730,1811939757...1811939767&gender=0&c_age=201,250,207,208&measures=20100&select=date_name,geography_name,geography_code,c_age_name,obs_value"
gva,UK small area gross value added estimates,"/api/v01/dataset/NM_2400_1.data.csv?geography=1811939329...1811939332,1811939334...1811939336,1811939338...1811939428,1811939436...1811939442,1811939768,1811939769,1811939443...1811939497,1811939499...1811939501,1811939503,1811939505...1811939507,1811939509...1811939517,1811939519,1811939520,1811939524...1811939570,1811939575...1811939599,1811939601...1811939628,1811939630...1811939634,1811939636...1811939647,1811939649,1811939655...1811939664,1811939667...1811939680,1811939682,1811939683,1811939685,1811939687...1811939704,1811939707,1811939708,1811939710,1811939712...1811939717,1811939719,1811939720,1811939722...1811939730,1811939757...1811939767&cell=0&measures=20100&select=date_name,geography_name,geography_code,obs_value"
jobs,Jobs density,"/api/v01/dataset/NM_57_1.data.csv?geography=1811939329...1811939332,1811939334...1811939336,1811939338...1811939428,1811939436...1811939442,1811939768,1811939769,1811939443...1811939497,1811939499...1811939501,1811939503,1811939505...1811939507,1811939509...1811939517,1811939519,1811939520,1811939524...1811939570,1811939575...1811939599,1811939601...1811939628,1811939630...1811939634,1811939636...1811939647,1811939649,1811939655...1811939664,1811939667...1811939680,1811939682,1811939683,1811939685,1811939687...1811939704,1811939707,1811939708,1811939710,1811939712...1811939717,1811939719,1811939720,1811939722...1811939730,1811939757...1811939767&item=1,3&measures=20100&select=date_name,geography_name,geography_code,item_name,obs_value"
claimant,Claimant count by sex and age,"/api/v01/dataset/NM_162_1.data.csv?geography=1811939329...1811939332,1811939334...1811939336,1811939338...1811939428,1811939436...1811939442,1811939768,1811939769,1811939443...1811939497,1811939499...1811939501,1811939503,1811939505...1811939507,1811939509...1811939517,1811939519,1811939520,1811939524...1811939570,1811939575...1811939599,1811939601...1811939628,1811939630...1811939634,1811939636...1811939647,1811939649,1811939655...1811939664,1811939667...1811939680,1811939682,1811939683,1811939685,1811939687...1811939704,1811939707,1811939708,1811939710,1811939712...1811939717,1811939719,1811939720,1811939722...1811939730,1811939757...1811939767&date=latestMINUS339,latestMINUS327,latestMINUS315,latestMINUS303,latestMINUS291,latestMINUS279,latestMINUS267,latestMINUS255,latestMINUS243,latestMINUS231,latestMINUS219,latestMINUS207,latestMINUS195,latestMINUS183,latestMINUS171,latestMINUS159,latestMINUS147,latestMINUS135,latestMINUS123,latestMINUS111,latestMINUS99,latestMINUS87,latestMINUS75,latestMINUS63,latestMINUS51,latestMINUS39,latestMINUS27,latestMINUS15,latestMINUS3&gender=0&age=0&measure=1,2&measures=20100&select=date_name,geography_name,geography_code,measure_name,obs_value"
gdhi,Regional gross disposable household income (GDHI) at current basic prices,"/api/v01/dataset/NM_185_1.data.csv?geography=1811939329...1811939332,1811939334...1811939336,1811939338...1811939428,1811939436...1811939442,1811939768,1811939769,1811939443...1811939497,1811939499...1811939501,1811939503,1811939505...1811939507,1811939509...1811939517,1811939519,1811939520,1811939524...1811939570,1811939575...1811939599,1811939601...1811939628,1811939630...1811939634,1811939636...1811939647,1811939649,1811939655...1811939664,1811939667...1811939680,1811939682,1811939683,1811939685,1811939687...1811939704,1811939707,1811939708,1811939710,1811939712...1811939717,1811939719,1811939720,1811939722...1811939730,1811939757...1811939767&component_of_gdhi=0,2,7,10,13&measure=1&measures=20100&select=date_name,geography_name,geography_code,component_of_gdhi_name,obs_value"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,`
