"Year","LACD","GVA","Claimants_Total","Claimants_Density_16_64","Claimants_16_64_Prop","Jobs_Total","Jobs_Density_16_64","Age_Avg","Pop_Total","Pop_Male","Pop_Female","Pop_Aged_0_15","Pop_Aged_16_24","Pop_Aged_25_49","Pop_Aged_50_64","GDHI_Total","GDHI_Primary_Resources","GDHI_Primary_Uses","GDHI_Secondary_Resources","GDHI_Secondary_Uses"
1998,"E06000005",1.519e+09,3245,5.2,0.052,NA,NA,37.9003576640835,99273,47873,51400,20452,9604,35502,17051,9.25e+08,1.09e+09,4.9e+07,2.83e+08,3.99e+08
1998,"E06000047",4.622e+09,12745,4,0.04,NA,NA,38.1052498082332,496945,241812,255133,98384,51733,177085,89268,4.581e+09,5.341e+09,1.88e+08,1.46e+09,2.032e+09
1998,"E06000001",7.74e+08,4370,7.8,0.078,NA,NA,37.0314419172784,89753,43538,46215,19949,8791,31833,15183,7.47e+08,8.37e+08,3.4e+07,2.69e+08,3.25e+08
1998,"E06000002",1.476e+09,7170,7.9,0.079,NA,NA,35.3539824256048,144031,70020,74011,32994,19191,49873,21432,1.201e+09,1.343e+09,4.9e+07,4.23e+08,5.17e+08
1998,"E06000057",3.053e+09,7770,4,0.04,NA,NA,38.9921854813598,307241,149952,157289,58920,30182,108171,57485,3.121e+09,3.705e+09,1.58e+08,9.2e+08,1.346e+09
1998,"E06000003",1.258e+09,5395,6.1,0.061,NA,NA,37.9602826528327,140380,68086,72294,29978,13310,48648,25853,1.206e+09,1.397e+09,6e+07,4.26e+08,5.57e+08
1998,"E06000004",2.571e+09,7130,6.2,0.062,NA,NA,36.4340610022524,179350,87765,91585,39709,18741,65912,29577,1.682e+09,2.094e+09,8e+07,4.72e+08,8.04e+08
1998,"E08000037",2.605e+09,5990,4.9,0.049,NA,NA,38.4364240868624,194344,93932,100412,38173,18526,70225,34323,1.674e+09,1.971e+09,7.1e+07,5.63e+08,7.9e+08
1998,"E08000021",4.323e+09,11185,6.3,0.063,NA,NA,36.5653457342263,274455,133551,140904,53269,41381,95521,40715,2.673e+09,3.113e+09,1.17e+08,7.83e+08,1.106e+09
1998,"E08000022",2.042e+09,6540,5.5,0.055,NA,NA,38.8200127041064,191000,91323,99677,37443,17656,68685,32628,1.892e+09,2.296e+09,9.7e+07,5.74e+08,8.81e+08
1998,"E08000023",1.114e+09,6470,6.8,0.068,NA,NA,38.2549632897639,154402,74908,79494,32207,14406,54875,25584,1.311e+09,1.456e+09,5.1e+07,4.55e+08,5.48e+08
1998,"E08000024",3.496e+09,10110,5.5,0.055,NA,NA,36.858417491911,289709,140836,148873,60376,35330,102032,48040,2.408e+09,2.724e+09,9.7e+07,8.18e+08,1.038e+09
1998,"E06000008",1.544e+09,3195,3.7,0.037,NA,NA,34.3969728517658,139568,68728,70840,35261,15433,49771,20297,1.161e+09,1.288e+09,5.1e+07,3.9e+08,4.66e+08
1998,"E06000009",1.3e+09,4730,5.3,0.053,NA,NA,39.8770989054755,144120,69494,74626,26701,12572,49198,27139,1.381e+09,1.58e+09,8.5e+07,4.28e+08,5.42e+08
1998,"E06000049",5.93e+09,4430,2,0.02,NA,NA,38.4906439671316,352066,172111,179955,68993,33905,125289,66353,4.24e+09,5.317e+09,2.98e+08,9.74e+08,1.753e+09
1998,"E06000050",4.931e+09,5405,2.7,0.027,NA,NA,38.0368317687511,320132,155791,164341,64943,31776,113411,58571,3.51e+09,4.412e+09,2.27e+08,8.65e+08,1.539e+09
1998,"E06000006",2.224e+09,4225,5.5,0.055,NA,NA,35.8723329129887,120212,58383,61829,27255,13304,44389,19608,1.062e+09,1.281e+09,5.4e+07,3.29e+08,4.94e+08
1998,"E06000007",3.634e+09,3170,2.6,0.026,NA,NA,36.8330870621995,189569,93186,96383,39867,18126,72157,33016,1.964e+09,2.532e+09,1.24e+08,4.68e+08,9.12e+08
1998,"E07000026",1.086e+09,3070,5.2,0.052,NA,NA,39.2955597167517,94791,46266,48525,18172,8627,33013,17921,9.36e+08,1.105e+09,5.5e+07,2.57e+08,3.71e+08
1998,"E07000027",7.96e+08,2335,5.2,0.052,NA,NA,38.0487939215908,71821,35184,36637,15094,6583,25381,13081,6.05e+08,7.14e+08,3.2e+07,1.96e+08,2.72e+08
1998,"E07000028",1.458e+09,2530,3.9,0.039,NA,NA,38.6710430123679,101859,49318,52541,19881,9720,36390,18021,9.08e+08,1.154e+09,5.5e+07,2.73e+08,4.64e+08
