"LACD","Year","Hs_Sales_Total","Hs_Sales_New","Hs_Sales_Exist","Hs_Price_Median","Hs_Price_Median_New","Hs_Price_Median_Exist","Hs_Price_Mean","Hs_Price_Mean_New","Hs_Price_Mean_Exist","Hs_Price_25th","Hs_Price_10th","Hs_Sales_New_Prop"
"E06000001",1995,1118,156,962,37500,56500,35000,42291.880143,54769.839744,40268.427235,26950,19300,0.13953488372093
"E06000001",1996,1380,242,1138,40975,65475,37100,45719.416667,65411.359504,41531.850615,27000,18000,0.17536231884058
"E06000001",1997,1349,253,1096,41450,64950,35000,46904.581171,71865.442688,41142.630474,25000,16000,0.187546330615271
"E06000001",1998,1400,275,1125,44950,67950,37500,51727.359286,82985.4,44086.504889,27500,16910,0.196428571428571
"E06000001",1999,1592,310,1282,48000,85000,39000,56034.268216,98961.970968,45653.934477,27300,16950,0.194723618090452
"E06000001",2000,1902,379,1523,45950,84950,36000,52406.896425,93232.886544,42247.309915,25000,12600,0.199263932702419
"E06000001",2001,2180,372,1808,48997.5,83997.5,40000,55699.787156,91561.451613,48321.170354,26500,14000,0.170642201834862
"E06000001",2002,2453,386,2067,53500,85995,44000,61398.552792,97240.329016,54705.313498,27000,17000,0.157358336730534
"E06000001",2003,2740,326,2414,56975,135000,48000,76110.905109,160688.45706,64689.081607,28000,20000,0.118978102189781
"E06000001",2004,2639,185,2454,54000,164950,50000,81032.119363,186922.76757,73049.328036,35000,23000,0.0701023114816218
"E06000001",2005,2215,206,2009,77000,155000,70250,98622.644244,180253.54369,90252.328024,48000,37500,0.0930022573363431
"E06000001",2006,2356,193,2163,92500,149950,89950,113307.809,161014.22798,109051.06426,65000,47000,0.081918505942275
"E06000001",2007,1958,185,1773,109475,128500,105000,125280.32278,153650.48649,122320.09701,75000,60000,0.0944841675178754
"E06000001",2008,945,166,779,105000,135400,92500,120228.41587,150412.35542,113796.40822,75000,56000,0.175661375661376
"E06000001",2009,858,151,707,108000,129450,97000,121641.8648,143004.96689,117079.16549,70000,48500,0.175990675990676
"E06000001",2010,861,159,702,110000,130000,1e+05,122843.78513,138884.42138,119210.64957,75000,50000,0.184668989547038
"E06000001",2011,931,142,789,101000,139997.5,92000,119412.63158,155633.65493,112893.76553,69950,47000,0.152524167561762
"E06000001",2012,855,152,703,110000,139950,105000,123770.61637,148467.76316,118430.69275,75000,50000,0.177777777777778
