OBJECTID,LAD22CD,LAD22NM,BNG_E,BNG_N,LONG,LAT,GlobalID,Shape__Area,Shape__Length
1,E06000001,Hartlepool,447160,531474,-1.27018,54.67614,4f0897c4-c100-420f-a3e2-edf93977a6f0,93717028.438385,70995.4447732609
2,E06000002,Middlesbrough,451141,516887,-1.21099,54.54467,58e8beab-dba4-49cf-b3e1-5a458e7218ba,53881560.0185547,44479.8769841827
3,E06000003,Redcar and Cleveland,464361,519597,-1.00608,54.56752,686ea8c1-79f6-49f1-9c21-cc04df19e08e,245069508.589874,96703.4365383874
4,E06000004,Stockton-on-Tees,444940,518183,-1.30664,54.55691,86cffb21-e561-4a88-90d5-1f1aebf755a4,204932935.038605,123405.091421009
5,E06000005,Darlington,428029,515648,-1.56835,54.53534,ceeb09d2-5a8e-4628-8b52-bb39522312fb,197477753.555023,107202.299425244
6,E06000006,Halton,354246,382146,-2.68853,53.33424,e8611d0d-957e-40f3-b188-c1ecef9a9890,79084021.8926773,77769.8801037588
7,E06000007,Warrington,362744,388456,-2.56167,53.39163,6c9bc957-4a57-4e7e-84d6-020733b1851f,180627984.298889,114688.175571706
8,E06000008,Blackburn with Darwen,369490,422806,-2.4636,53.7008,37c2a129-7d46-4b46-b04f-56d9cc4339e8,137022093.525848,65284.3735150369
9,E06000009,Blackpool,332819,436635,-3.02199,53.82164,19669b6e-452d-48a9-b293-10a47ba6e6aa,34870852.2277985,34480.791460662
10,E06000010,"Kingston upon Hull, City of",511894,431650,-0.30382,53.7692,dc433c6c-4a44-4686-b6bf-ff679df1e366,71583596.5189972,64680.5527748497
11,E06000011,East Riding of Yorkshire,488056,443597,-0.66195,53.88112,6fc10e1b-90b0-40d8-a0e2-ed0f919d10b9,2404768954.00879,504120.167367439
12,E06000012,North East Lincolnshire,523465,404564,-0.13911,53.52327,1991f2e1-8401-44bb-880b-820a290a0989,192622985.907043,93246.3511874997
13,E06000013,North Lincolnshire,497800,410993,-0.52407,53.58643,334791c6-73d8-4040-a9be-e062cb236f10,846540128.716782,244546.847751675
14,E06000014,York,460864,452589,-1.07375,53.96582,32218353-0b87-4ef5-a7ef-d72213ca3f80,271931454.715424,102020.797435209
15,E06000015,Derby,435609,335375,-1.47189,52.91464,374a08da-f260-4e3c-a828-9f6ebf68cc27,78031107.3557892,50036.3185804889
16,E06000016,Leicester,458946,304594,-1.1304,52.63592,e8c997ed-a22f-4ec6-bbdb-da76ee63985b,73342034.1657257,51929.4942082033
